key,publishingCountry,basisOfRecord,occurrenceStatus,scientificName,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,eventDate,issues,class,countryCode,country,datasetName,avg_radiance,avg_deg_urban,is_invasive,land_cover_label,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,phh2o_0_5cm_mean,bdod_0_5cm_mean,cec_0_5cm_mean,cfvo_0_5cm_mean,clay_0_5cm_mean,nitrogen_0_5cm_mean,sand_0_5cm_mean,silt_0_5cm_mean,soc_0_5cm_mean,ocd_0_5cm_mean
3764479550,US,HUMAN_OBSERVATION,PRESENT,"Aythya fuligula (Linnaeus, 1758)","Aythya fuligula (Linnaeus, 1758)",Animalia,Chordata,Anseriformes,Anatidae,Aythya,Aythya fuligula,Aythya,fuligula,SPECIES,ACCEPTED,LC,-2.218627,53.544292,93.0,2022-04-05T00:00:00Z,['COORDINATE_ROUNDED'],Aves,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,,,false,,,,,,,,,,,,,,,,,,,,,
3759259062,GB,HUMAN_OBSERVATION,PRESENT,"Turdus viscivorus Linnaeus, 1758","Turdus viscivorus Linnaeus, 1758",Animalia,Chordata,Passeriformes,Turdidae,Turdus,Turdus viscivorus,Turdus,viscivorus,SPECIES,ACCEPTED,LC,-1.529399,53.408105,357.0,2022-04-05T13:57:21Z,['COORDINATE_ROUNDED'],Aves,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,5.4303,1.9167,false,trees,,,,,,,,,,,54.0,97.0,269.0,182.0,243.0,8204.0,399.0,356.0,1275.0,533.0
3760213013,US,HUMAN_OBSERVATION,PRESENT,Urtica dioica L.,Urtica dioica L.,Plantae,Tracheophyta,Rosales,Urticaceae,Urtica,Urtica dioica,Urtica,dioica,SPECIES,ACCEPTED,LC,-3.150067,51.767719,15.0,2022-04-05T16:45:00Z,['COORDINATE_ROUNDED'],Magnoliopsida,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,2.0134,1.1633,false,trees,,,,,,,,,,,54.0,98.0,354.0,173.0,194.0,6417.0,372.0,429.0,1008.0,572.0
3760263987,US,HUMAN_OBSERVATION,PRESENT,Anemonoides nemorosa (L.) Holub,Anemone nemorosa L.,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Anemone,Anemone nemorosa,Anemonoides,nemorosa,SPECIES,SYNONYM,NE,-2.484966,53.841296,15.0,2022-04-05T17:51:00Z,['COORDINATE_ROUNDED'],Magnoliopsida,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,3.1769,1.0842,false,grass,,,,,,,,,,,56.0,92.000000000000014,338.0,142.00000000000003,207.0,7444.0,426.0,358.0,1376.4665271966526,542.0
3759302081,US,HUMAN_OBSERVATION,PRESENT,Umbilicus rupestris (Salisb.) Dandy,Umbilicus rupestris (Salisb.) Dandy,Plantae,Tracheophyta,Saxifragales,Crassulaceae,Umbilicus,Umbilicus rupestris,Umbilicus,rupestris,SPECIES,ACCEPTED,NE,-3.581006,50.329343,18.0,2022-04-05T16:07:44Z,['COORDINATE_ROUNDED'],Magnoliopsida,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,0.5694,0.5256,false,water,,,,,,,,,,,61.0,114.0,336.0,168.0,221.0,7457.0,341.0,438.0,836.0,492.0
3760255026,US,HUMAN_OBSERVATION,PRESENT,Ficaria verna Huds.,Ficaria verna Huds.,Plantae,Tracheophyta,Ranunculales,Ranunculaceae,Ficaria,Ficaria verna,Ficaria,verna,SPECIES,ACCEPTED,NE,-3.181478,52.616388,2997.0,2022-04-05T14:11:55Z,['COORDINATE_ROUNDED'],Magnoliopsida,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,0.6416,0.8304,false,grass,,,,,,,,,,,62.0,99.000000000000014,271.0,166.0,278.0,6434.0,305.0,412.0,910.33333333333337,489.00000000000006
3759276975,GB,HUMAN_OBSERVATION,PRESENT,"Pyrrhula pyrrhula (Linnaeus, 1758)","Pyrrhula pyrrhula (Linnaeus, 1758)",Animalia,Chordata,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula,Pyrrhula,pyrrhula,SPECIES,ACCEPTED,LC,-2.211148,53.856501,5.0,2022-04-05T11:25:17Z,['COORDINATE_ROUNDED'],Aves,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,2.1238,1.1706,false,grass,,,,,,,,,,,57.0,94.0,300.0,134.0,217.0,7721.0,423.0,360.0,1307.0,533.0
3759989993,GB,HUMAN_OBSERVATION,PRESENT,"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.","Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.",Plantae,Tracheophyta,Asterales,Asteraceae,Petasites,Petasites hybridus,Petasites,hybridus,SPECIES,ACCEPTED,NE,-1.860033,53.056903,20.0,2022-04-05T15:07:10Z,['COORDINATE_ROUNDED'],Magnoliopsida,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,1.5575,0.8922,false,grass,,,,,,,,,,,57.0,97.0,282.0,146.0,257.0,7492.0,277.0,472.0,1104.3494897959185,540.0
3759966034,US,HUMAN_OBSERVATION,PRESENT,"Linaria cannabina (Linnaeus, 1758)","Linaria cannabina (Linnaeus, 1758)",Animalia,Chordata,Passeriformes,Fringillidae,Linaria,Linaria cannabina,Linaria,cannabina,SPECIES,ACCEPTED,LC,0.847136,52.958759,,2022-04-05T10:10:27Z,['COORDINATE_ROUNDED'],Aves,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,0.3857,0.3264,false,grass,,,,,,,,,,,65.0,100.0,340.0,103.0,336.0,6981.0,284.0,379.0,778.0,554.0
3802518433,US,HUMAN_OBSERVATION,PRESENT,Acer platanoides L.,Acer platanoides L.,Plantae,Tracheophyta,Sapindales,Sapindaceae,Acer,Acer platanoides,Acer,platanoides,SPECIES,ACCEPTED,LC,-2.217647,52.21455,50.0,2022-04-05T13:05:18Z,['COORDINATE_ROUNDED'],Magnoliopsida,GB,United Kingdom of Great Britain and Northern Ireland,iNaturalist research-grade observations,1.8358,1.2775,false,built,,,,,,,,,,,64.0,94.0,263.0,119.0,343.0,5192.0,318.0,332.0,850.0,567.0
