variable,value
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,28.8
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,26.8
tavg,26.2
tavg,25.6
tavg,25.6
tavg,25.6
tavg,25.6
tavg,26.7
tavg,26.7
tavg,26.4
tavg,26.4
tavg,26.4
tavg,26.4
tavg,26.4
tavg,25.5
tavg,26.8
tavg,26.8
tavg,26.8
tavg,26.9
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.7
tavg,26.8
tavg,26.8
tavg,25.9
tavg,25.9
tavg,26.8
tavg,28.3
tavg,27.8
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.7
tavg,27.3
tavg,27.3
tavg,27.7
tavg,27.7
tavg,26.9
tavg,23.8
tavg,23.8
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,27.3
tavg,27.3
tavg,27.3
tavg,27.3
tavg,27.3
tavg,27.3
tavg,27.3
tavg,27.3
tavg,27.3
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,25.9
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
tavg,
