id,countryCode,establishmentMeans,invasiveness,pathway,taxonID,scientificName
2,BRA,Native,NotInvasive,BotanicalGardenZooAquaria,2.0,Miconia calvescens D.C.
2,BRA,Native,NotInvasive,TransportationOfHabitatMaterial,2.0,Miconia calvescens D.C.
2,BRA,Native,NotInvasive,MachineryEquipment,2.0,Miconia calvescens D.C.
2,GBR,Alien,Unspecified,BotanicalGardenZooAquaria,2.0,Miconia calvescens D.C.
2,GBR,Alien,Unspecified,TransportationOfHabitatMaterial,2.0,Miconia calvescens D.C.
2,GBR,Alien,Unspecified,MachineryEquipment,2.0,Miconia calvescens D.C.
15,IND,Native,NotInvasive,Agriculture,15.0,Abelmoschus moschatus Medik.
15,IND,Native,NotInvasive,HitchhikersOnShipBoat,15.0,Abelmoschus moschatus Medik.
16,IND,Alien,Unspecified,Agriculture,16.0,Imperata cylindrica (L.) Raeusch.
16,IND,Alien,Unspecified,ContaminantNurseryMaterial,16.0,Imperata cylindrica (L.) Raeusch.
16,IND,Alien,Unspecified,ContainerBulk,16.0,Imperata cylindrica (L.) Raeusch.
16,IND,Alien,Unspecified,Vehicles,16.0,Imperata cylindrica (L.) Raeusch.
19,GBR,Alien,Invasive,ContainerBulk,19.0,"Rattus rattus (Linnaeus, 1758)"
19,GBR,Alien,Invasive,Vehicles,19.0,"Rattus rattus (Linnaeus, 1758)"
19,IND,Native,NotInvasive,ContainerBulk,19.0,"Rattus rattus (Linnaeus, 1758)"
19,IND,Native,NotInvasive,Vehicles,19.0,"Rattus rattus (Linnaeus, 1758)"
22,BRA,Native,NotInvasive,,22.0,Schinus terebinthifolius Raddi
23,BRA,Alien,Invasive,LandscapeFloraFaunaImprovement,23.0,Leucaena leucocephala (Lam.) De wit
23,BRA,Alien,Invasive,Agriculture,23.0,Leucaena leucocephala (Lam.) De wit
23,BRA,Alien,Invasive,BotanicalGardenZooAquaria,23.0,Leucaena leucocephala (Lam.) De wit
23,BRA,Alien,Invasive,Forestry,23.0,Leucaena leucocephala (Lam.) De wit
23,IND,Alien,NotInvasive,LandscapeFloraFaunaImprovement,23.0,Leucaena leucocephala (Lam.) De wit
23,IND,Alien,NotInvasive,Agriculture,23.0,Leucaena leucocephala (Lam.) De wit
23,IND,Alien,NotInvasive,BotanicalGardenZooAquaria,23.0,Leucaena leucocephala (Lam.) De wit
23,IND,Alien,NotInvasive,Forestry,23.0,Leucaena leucocephala (Lam.) De wit
24,BRA,Alien,Invasive,PetAquariumSpecies,24.0,"Felis catus Linnaeus, 1758"
24,BRA,Alien,Invasive,HitchhikersOnShipBoat,24.0,"Felis catus Linnaeus, 1758"
24,GBR,Alien,Invasive,PetAquariumSpecies,24.0,"Felis catus Linnaeus, 1758"
24,GBR,Alien,Invasive,HitchhikersOnShipBoat,24.0,"Felis catus Linnaeus, 1758"
38,GBR,Alien,Invasive,PetAquariumSpecies,38.0,"Eriocheir sinensis (Milne-Edwards, 1854)"
38,GBR,Alien,Invasive,LiveFoodAndLiveBaits,38.0,"Eriocheir sinensis (Milne-Edwards, 1854)"
38,GBR,Alien,Invasive,ShipBoatBallastWater,38.0,"Eriocheir sinensis (Milne-Edwards, 1854)"
38,GBR,Alien,Invasive,ShipBoatHullFouling,38.0,"Eriocheir sinensis (Milne-Edwards, 1854)"
39,GBR,Cryptogenic,Unspecified,ParasitesOnAnimals,39.0,Plasmodium relictum (Grassi and Feletti 1891)
42,IND,Alien,Invasive,ReleaseInNatureForUse,42.0,Mikania micrantha (L.) Kunth.
45,BRA,Alien,Unspecified,LandscapeFloraFaunaImprovement,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,BRA,Alien,Unspecified,Forestry,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,BRA,Alien,Unspecified,HitchhikersOnShipBoat,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,BRA,Alien,Unspecified,Vehicles,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,IND,Alien,Unspecified,LandscapeFloraFaunaImprovement,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,IND,Alien,Unspecified,Forestry,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,IND,Alien,Unspecified,HitchhikersOnShipBoat,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
45,IND,Alien,Unspecified,Vehicles,45.0,Melaleuca quinquenervia (Cav.) S.T. Blake
47,BRA,Native,NotInvasive,BiologicalControl,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,Agriculture,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,BotanicalGardenZooAquaria,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,HitchhikersOnShipBoat,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,ContaminantOnAnimals,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,SeedContaminant,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,TransportationOfHabitatMaterial,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,MachineryEquipment,47.0,Chromolaena odorata (L.) King & Robinson
47,BRA,Native,NotInvasive,Vehicles,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,BiologicalControl,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,Agriculture,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,BotanicalGardenZooAquaria,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,HitchhikersOnShipBoat,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,ContaminantOnAnimals,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,SeedContaminant,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,TransportationOfHabitatMaterial,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,MachineryEquipment,47.0,Chromolaena odorata (L.) King & Robinson
47,IND,Alien,Invasive,Vehicles,47.0,Chromolaena odorata (L.) King & Robinson
49,BRA,Native,NotInvasive,Agriculture,49.0,Acacia farnesiana (L.) Willd.
49,IND,Alien,Unspecified,Agriculture,49.0,Acacia farnesiana (L.) Willd.
50,GBR,Alien,Invasive,BotanicalGardenZooAquaria,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Invasive,TransportationOfHabitatMaterial,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Invasive,ShipBoatBallastWater,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Invasive,ShipBoatHullFouling,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Unspecified,BotanicalGardenZooAquaria,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Unspecified,TransportationOfHabitatMaterial,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Unspecified,ShipBoatBallastWater,50.0,"Dreissena polymorpha (Pallas, 1771)"
50,GBR,Alien,Unspecified,ShipBoatHullFouling,50.0,"Dreissena polymorpha (Pallas, 1771)"
51,IND,Alien,Invasive,Forestry,51.0,Acacia mearnsii De Wild.
51,IND,Alien,Invasive,HitchhikersOnShipBoat,51.0,Acacia mearnsii De Wild.
56,IND,Alien,Invasive,HitchhikersOnShipBoat,56.0,Lantana camara L.1753
58,BRA,Native,NotInvasive,BiologicalControl,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,LiveFoodAndLiveBaits,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,ContaminantNurseryMaterial,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,FoodContaminant,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,ContaminantOnPlants,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,TransportationOfHabitatMaterial,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,ContainerBulk,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,PeopleAndTheirLuggages,58.0,Wasmannia auropunctata (Roger 1863)
58,BRA,Native,NotInvasive,OrganicPackingMaterial,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,BiologicalControl,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,LiveFoodAndLiveBaits,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,ContaminantNurseryMaterial,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,FoodContaminant,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,ContaminantOnPlants,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,TransportationOfHabitatMaterial,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,ContainerBulk,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,PeopleAndTheirLuggages,58.0,Wasmannia auropunctata (Roger 1863)
58,GBR,Alien,Invasive,OrganicPackingMaterial,58.0,Wasmannia auropunctata (Roger 1863)
60,BRA,Alien,Unspecified,ReleaseInNatureForUse,60.0,Cyprinus carpio Linnaeus 1758
60,BRA,Alien,Unspecified,FisheryInTheWild,60.0,Cyprinus carpio Linnaeus 1758
60,BRA,Alien,Unspecified,LandscapeFloraFaunaImprovement,60.0,Cyprinus carpio Linnaeus 1758
60,BRA,Alien,Unspecified,AquacultureMariculture,60.0,Cyprinus carpio Linnaeus 1758
60,BRA,Alien,Unspecified,OrnamentalPurpose,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Invasive,ReleaseInNatureForUse,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Invasive,FisheryInTheWild,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Invasive,LandscapeFloraFaunaImprovement,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Invasive,AquacultureMariculture,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Invasive,OrnamentalPurpose,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Unspecified,ReleaseInNatureForUse,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Unspecified,FisheryInTheWild,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Unspecified,LandscapeFloraFaunaImprovement,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Unspecified,AquacultureMariculture,60.0,Cyprinus carpio Linnaeus 1758
60,GBR,Alien,Unspecified,OrnamentalPurpose,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Invasive,ReleaseInNatureForUse,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Invasive,FisheryInTheWild,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Invasive,LandscapeFloraFaunaImprovement,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Invasive,AquacultureMariculture,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Invasive,OrnamentalPurpose,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,NotInvasive,ReleaseInNatureForUse,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,NotInvasive,FisheryInTheWild,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,NotInvasive,LandscapeFloraFaunaImprovement,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,NotInvasive,AquacultureMariculture,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,NotInvasive,OrnamentalPurpose,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Unspecified,ReleaseInNatureForUse,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Unspecified,FisheryInTheWild,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Unspecified,LandscapeFloraFaunaImprovement,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Unspecified,AquacultureMariculture,60.0,Cyprinus carpio Linnaeus 1758
60,IND,Alien,Unspecified,OrnamentalPurpose,60.0,Cyprinus carpio Linnaeus 1758
62,GBR,Alien,Unspecified,AquacultureMariculture,62.0,Clarias batrachus (Linnaeus 1758)
62,GBR,Alien,Unspecified,PetAquariumSpecies,62.0,Clarias batrachus (Linnaeus 1758)
62,IND,Native,NotInvasive,AquacultureMariculture,62.0,Clarias batrachus (Linnaeus 1758)
62,IND,Native,NotInvasive,PetAquariumSpecies,62.0,Clarias batrachus (Linnaeus 1758)
64,BRA,Alien,Invasive,LandscapeFloraFaunaImprovement,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,OrnamentalPurpose,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,PetAquariumSpecies,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,ContaminantNurseryMaterial,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,FoodContaminant,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,ContainerBulk,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,HitchhikersInOrOnPlane,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,MachineryEquipment,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,PeopleAndTheirLuggages,64.0,"Achatina fulica Bowdich, 1822"
64,BRA,Alien,Invasive,Vehicles,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,LandscapeFloraFaunaImprovement,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,OrnamentalPurpose,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,PetAquariumSpecies,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,ContaminantNurseryMaterial,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,FoodContaminant,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,ContainerBulk,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,HitchhikersInOrOnPlane,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,MachineryEquipment,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,PeopleAndTheirLuggages,64.0,"Achatina fulica Bowdich, 1822"
64,IND,Alien,Invasive,Vehicles,64.0,"Achatina fulica Bowdich, 1822"
65,GBR,Alien,Invasive,LandscapeFloraFaunaImprovement,65.0,Sciurus carolinensis Gmelin 1788
67,GBR,Native,NotInvasive,ContainerBulk,67.0,"Vespula vulgaris (Linnaeus, 1758)"
67,GBR,Native,NotInvasive,OtherMeansOfTransport,67.0,"Vespula vulgaris (Linnaeus, 1758)"
67,IND,Native,NotInvasive,ContainerBulk,67.0,"Vespula vulgaris (Linnaeus, 1758)"
67,IND,Native,NotInvasive,OtherMeansOfTransport,67.0,"Vespula vulgaris (Linnaeus, 1758)"
69,GBR,Cryptogenic,Unspecified,HitchhikersOnShipBoat,69.0,Ulex europaeus L.
69,GBR,Cryptogenic,Unspecified,OtherEscapeFromConfinement,69.0,Ulex europaeus L.
69,IND,Cryptogenic,Unspecified,HitchhikersOnShipBoat,69.0,Ulex europaeus L.
