gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3747265667,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/109036271,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,,SPECIES,"Chrysocyon brachyurus (Illiger, 1815)",Chrysocyon brachyurus,NA,BR,,Minas Gerais,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-20.304526,-46.41993,30490,NA,NA,NA,NA,NA,2022-02-24T18:36:16Z,24,2,2022,2434450,2434450,HUMAN_OBSERVATION,iNaturalist,Observations,109036271,NA,Henrique C. Costa,2022-03-20 11:44:46,CC_BY_NC_4_0,Henrique C. Costa,Henrique C. Costa,NA,NA,2022-06-03T10:58:31Z,StillImage,COORDINATE_ROUNDED
3747250685,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/109035730,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,,SPECIES,"Chrysocyon brachyurus (Illiger, 1815)",Chrysocyon brachyurus,NA,BR,,Minas Gerais,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-20.29978,-46.509507,30490,NA,NA,NA,NA,NA,2022-02-23T21:09:05Z,23,2,2022,2434450,2434450,HUMAN_OBSERVATION,iNaturalist,Observations,109035730,NA,Henrique C. Costa,2022-03-20 11:33:07,CC_BY_NC_4_0,Henrique C. Costa,Henrique C. Costa,NA,NA,2022-06-03T10:58:52Z,StillImage,COORDINATE_ROUNDED
3457203994,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/105102608,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,,SPECIES,"Chrysocyon brachyurus (Illiger, 1815)",Chrysocyon brachyurus,NA,BR,,Goiás,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-16.631452,-47.619873,30795,NA,NA,NA,NA,NA,2022-01-16T15:05:07Z,16,1,2022,2434450,2434450,HUMAN_OBSERVATION,iNaturalist,Observations,105102608,NA,Enrico A. R. Tosto,2022-01-17 23:08:29,CC_BY_NC_4_0,Cecilia Manavella,Cecilia Manavella,NA,NA,2022-06-03T11:31:15Z,StillImage,COORDINATE_ROUNDED
3802809532,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/118555716,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,Distrito Federal,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-15.819243,-47.835223,104,NA,NA,NA,NA,NA,2022-04-03T18:10:00Z,3,4,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,118555716,NA,taisb_schwartz,2022-05-24 19:31:00,CC_BY_NC_4_0,taisb_schwartz,taisb_schwartz,NA,NA,2022-06-03T11:40:29Z,StillImage,COORDINATE_ROUNDED
3802611051,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/118254524,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,Distrito Federal,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-15.78591,-47.834657,23,NA,NA,NA,NA,NA,2022-05-22T17:02:55Z,22,5,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,118254524,NA,raquelcaet,2022-05-22 20:06:03,CC_BY_NC_4_0,raquelcaet,raquelcaet,NA,NA,2022-06-03T11:14:49Z,StillImage,COORDINATE_ROUNDED
3802545537,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/117933002,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,São Paulo,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-23.715072,-46.429805,4,NA,NA,NA,NA,NA,2022-03-05T06:54:00Z,5,3,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,117933002,NA,miguelmagro,2022-05-20 23:29:02,CC_BY_NC_4_0,miguelmagro,miguelmagro,NA,NA,2022-06-03T11:55:07Z,StillImage,COORDINATE_ROUNDED
3802394161,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/118391215,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,São Paulo,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-22.88523,-47.043718,4,NA,NA,NA,NA,NA,2022-05-23T11:20:00Z,23,5,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,118391215,NA,Nelson Wisnik,2022-05-23 16:58:46,CC_BY_NC_4_0,Nelson Wisnik,Nelson Wisnik,NA,NA,2022-06-03T11:17:04Z,StillImage,COORDINATE_ROUNDED
3802351862,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/118095450,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,São Paulo,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-22.904189,-47.019398,4,NA,NA,NA,NA,NA,2022-05-21T16:41:00Z,21,5,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,118095450,NA,Nelson Wisnik,2022-05-21 23:45:08,CC_BY_NC_4_0,Nelson Wisnik,Nelson Wisnik,NA,NA,2022-06-03T11:10:01Z,StillImage,COORDINATE_ROUNDED
3785094586,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/117580164,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,Mato Grosso,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-15.5949,-56.057736,9,NA,NA,NA,NA,NA,2022-05-07T06:46:34Z,7,5,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,117580164,NA,fabiologopro,2022-05-18 12:20:02,CC_BY_NC_4_0,fabiologopro,fabiologopro,NA,NA,2022-06-03T11:27:36Z,StillImage,COORDINATE_ROUNDED
3784907780,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/116946505,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,,SPECIES,"Hydrochoerus hydrochaeris (Linnaeus, 1766)",Hydrochoerus hydrochaeris,NA,BR,,Rio Grande do Sul,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-29.983421,-56.158556,NA,NA,NA,NA,NA,NA,2022-05-13T11:04:41Z,13,5,2022,5786666,5786666,HUMAN_OBSERVATION,iNaturalist,Observations,116946505,NA,João Gava Just,2022-05-14 09:48:23,CC_BY_NC_4_0,João Gava Just,João Gava Just,NA,NA,2022-06-03T11:00:33Z,StillImage,COORDINATE_ROUNDED
